Artist,Album,Track Name,Track URI
Jack Stauber,HiLo,Dead Weight,spotify:track:5yhQS5ce3WebABcdngULA8
ABBA,ABBA Gold,Does Your Mother Know,spotify:track:45EaIq9lKyoQxxTjFkiGbl
The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Compass,spotify:track:0YNtAadZvKBBEFARtfoCV8
Bee Gees,Saturday Night Fever [The Original Movie Soundtrack],Stayin' Alive - 2007 Remastered Version Saturday Night Fever,spotify:track:5cP52DlDN9yryuZVQDg3iq
SiR,Chasing Summer,Hair Down (feat. Kendrick Lamar),spotify:track:4sFzG7iUlyPmuyASCkre9A
Berhana,HAN,Drnuk,spotify:track:0smaFg1bQ4imeJrWn5F2iX
Jack Harlow,Loose,KNACK FOR IT,spotify:track:7znMNt4SWNyheMtwgzvUzK
Blondie,Eat To The Beat,Atomic,spotify:track:5QIbR39hAEDIOkr4ggh4xc
Mort Garson,Mother Earth's Plantasia,Rhapsody in Green,spotify:track:6YWl0uGhdL50JtN63OvO52
Oden & Fatzo,Lady Love,Lady Love,spotify:track:3ACTBfO2gL0RY2a3Eb5kY5
No Doubt,Tragic Kingdom,Just A Girl,spotify:track:5lWRaa0fBxDE5yU91npPq7
Yeat,Lyfë,Out thë way,spotify:track:6IyoLWzljeR3ldQo4KWHT6
Kali Uchis,Red Moon In Venus,All Mine,spotify:track:6TRjT37UyRUVrGg3gTlIqb
Solomun,Black Label #36,The Way Back,spotify:track:43mulJ5Q7ECMNpqpmtflNt
Ciara,Beauty Marks,Trust Myself,spotify:track:6GaBBZyAsXDVyyWl3flefX
Frank Ocean,Blonde,White Ferrari,spotify:track:2LMkwUfqC6S6s6qDVlEuzV
Smokey Robinson & The Miracles,Going To A Go-Go,Ooo Baby Baby,spotify:track:3nsJGZ5RV2ZHkbKvD771gU
Kanye West,My Beautiful Dark Twisted Fantasy,POWER,spotify:track:2gZUPNdnz5Y45eiGxpHGSc
Molchat Doma,Этажи,Прогноз,spotify:track:4RUSEFqcMipFyfmNe2wCpq
Chet Baker,Chet Baker Sings,I Fall In Love Too Easily,spotify:track:0F845nujLVqCb0XMZCh5Pc
Ariana Grande,"thank u, next",bloodline,spotify:track:2hloaUoRonYssMuqLCBLTX
Laurence Guy,Saw You for the First Time,Saw You for the First Time,spotify:track:3lrNU0pvwTaXsgDqa55A8j
Eminem,Recovery,Talkin’ 2 Myself,spotify:track:66h8hB4In6t725WtAPL23J
Tommy Genesis,a woman is a god,a woman is a god,spotify:track:1aJwxjWEaP7SOWZ3ejaKej
GoldLink,At What Cost,Meditation (feat. Jazmine Sullivan & KAYTRANADA),spotify:track:7jaYiqwCFQDdtxfQaSzZuM
Rico Nasty,Anger Management,Cold,spotify:track:4Onanh2sbZQKTGH8KvWzxS
Gesaffelstein,Aleph,Nameless,spotify:track:34St83bnlGUoeH04RGJ3GJ
Mac DeMarco,Salad Days,Goodbye Weekend,spotify:track:6yFNMQrUVlg9Uqo0qRzGOD
Black Belt Eagle Scout,Mother of My Children,Soft Stud,spotify:track:2i1jIsRpjjzaV85v1fS4Hu
ZHU,GENERATIONWHY,Electrify Me,spotify:track:7MkZtFx58ZUBF4RqwOBQwk
JayDaYoungan,Forever 23,Early Morning,spotify:track:0KR659LdBxkH6iIbZgSxdw
Lana Del Rey,Lust For Life,Groupie Love (feat. A$AP Rocky),spotify:track:03hqMhmCZiNKMSPmVabPLP
BROCKHAMPTON,SWEET,SWEET,spotify:track:4ICjGWAFoZWXvRQta9UHuj
SoulSonic,Every Day Is Good,My Heart,spotify:track:2RFIM08jg4wBWZwc3TUN7p
Surfaces,I Can't Help But Feel,I Can't Help But Feel,spotify:track:40gooTta3y4FgzXaMOGDJL
Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,spotify:track:59WN2psjkt1tyaxjspN8fp
M.I.A.,Matangi,Bad Girls,spotify:track:6nzXkCBOhb2mxctNihOqbb
Ken Carson,Teen X,Yale,spotify:track:0HTIrbUwwFn984RzVZm5Fk
Botnit,To the Max,It's Supercharged!,spotify:track:4r1HKQzuTZ2APPbArR3Ecz
JID,The Forever Story,Surround Sound (feat. 21 Savage & Baby Tate),spotify:track:46b23Nj2UftnN8jSWz4VR5
Ekali,Blame,Blame,spotify:track:089tprIgsyFSOrZpugamLI
NAV,Bad Habits,Why You Crying Mama,spotify:track:03Q1Tz2OxlA3sRrbXxmG3V
SBTRKT,Wonder Where We Land,NEW DORP. NEW YORK,spotify:track:2QFHyK2SV2YWyJzu6kpGhk
Rod Stewart,Blondes Have More Fun,Da Ya Think I'm Sexy?,spotify:track:4z7maGZkAonDlXlwo8q69f
Beyoncé,Lemonade,Daddy Lessons,spotify:track:71OvX5NNLrmz7rpq1ANTQn
Kendrick Lamar,Overly Dedicated,Growing Apart (To Get Closer),spotify:track:2AyFYSaJjz9XMc0kMr1R3a
FKA twigs,MAGDALENE,cellophane,spotify:track:7x8pIrhMu9FCmqqHNyuH0P
Eve,Scorpion,Who's That Girl?,spotify:track:3uVE5vLKkigiWBOQEgmdDk
The Weeknd,Starboy,Die For You (with Ariana Grande) - Remix,spotify:track:4W4fNrZYkobj539TOWsLO2
Molchat Doma,Этажи,Волны,spotify:track:2VRK21ITVLx2Bc0KOonIOY
French 79,Joshua,Hometown,spotify:track:47x1Gh7yk5mblUWxWRdtjH
Caye,Easy (feat. Wiz Khalifa),Easy (feat. Wiz Khalifa),spotify:track:5vUel569Lei71zcFkbHr3W
Pat Benatar,Get Nervous,Fight It Out,spotify:track:1t9QISWsrT7r74AlWhWF5a
Kings of Leon,When You See Yourself,Stormy Weather,spotify:track:2GJ8aSnidsI7oMHuG6idE2
Mason,Perfect (Exceeder),Perfect (Exceeder),spotify:track:0whmIaItqkT8e5PVuPyhvT
Florence + The Machine,Lungs,You've Got The Love,spotify:track:244AvzGQ4Ksa5637JQu5Gy
Flo Milli,"Ho, why is you here ?",In The Party,spotify:track:52BJrldggFQyTiW8XrILhO
Red Lines,Paisley,Say It,spotify:track:6Y0XO11C6m9ZAmSouzvxoe
The Notorious B.I.G.,Life After Death,Notorious Thugs - 2014 Remaster,spotify:track:19FsxX4RthRMZGfXkImdCb
ZHU,GENERATIONWHY,Cold Blooded,spotify:track:1HvOkMQua2nC7CQpKNGLNE
Lustra,Left for Dead,Scotty Doesn't Know,spotify:track:1LkoYGxmYpO6QSEvY5C0Zl
FKA twigs,MAGDALENE,home with you,spotify:track:7BpykYGkewMF00FzSJLSgH
Ms. Lauryn Hill,The Miseducation of Lauryn Hill,Lost Ones,spotify:track:71XhXay6rKPZCVAaDtFlSR
Sub Urban,Cradles,Cradles,spotify:track:1y4jsQt7MjnZhiD1L6qFBC
The Little Dippers,Forever,Forever - Single Version,spotify:track:5rWyKJMaTXL0TArnJ8IGts
Drake,Nothing Was The Same,From Time,spotify:track:10VBBaul4zVD0reteuIHM2
Beach House,Depression Cherry,Beyond Love,spotify:track:0fbKFguQCxauLvVZ262f4c
TV Girl,Who Really Cares,(Do The) Act Like You Never Met Me,spotify:track:0N2Nx2lwHuqA203ZXoTwQL
JID,DiCaprio 2,151 Rum,spotify:track:22WV03i2lBbwNVCE1g671p
Twenty One Pilots,Trench,Chlorine,spotify:track:23OXdR7YuUBVWh5hSnYJau
Little Simz,Drop 7,Mood Swings,spotify:track:124nj3QzqpccVdLbiFHPeB
The Killers,Direct Hits,Human,spotify:track:5EwxljSRbPHLkWrdV7eBdT
Frank Ocean,Blonde,Facebook Story,spotify:track:73D5hBkiVZkopZrmBZTBWf
Tinashe,Aquarius,Aquarius,spotify:track:1y4qUmdo0DTgKC5OME5zie
Spiritualized,Ladies and gentlemen we are floating in space,Ladies and gentlemen we are floating in space,spotify:track:0fOjUafaAhJV16oRBgCtz7
NAV,RECKLESS,Champion (feat. Travis Scott),spotify:track:6nO3tr47nr2P7f3hXb8JIo
WILLOW,ARDIPITHECUS,RANDOMSONG,spotify:track:5eiBiwQKVhZXP58fbCohue
Nicki Minaj,Beam Me Up Scotty,Seeing Green (with Drake & Lil Wayne),spotify:track:1TZv3bujNaYz646eezRE91
The Rasmus,Black Roses,Livin' in a World Without You,spotify:track:0zXHdFLJlSrj1d6dRcoUua
Frankie Cosmos,Vessel,Jesse,spotify:track:7wywcX1oHKTVQV1dAxeaXq
Joy Division,Love Will Tear Us Apart,Love Will Tear Us Apart - 2020 Remaster,spotify:track:34iOH7LY3vme5rQxsVILZ4
Frank Ocean,Blonde,Solo (Reprise),spotify:track:2qtoRFCOEL1gRn5q9DJC7F
Lonnie Liston Smith,Visions of a New World,Colors of the Rainbow,spotify:track:3PM1DIy4tUN0Bepsmc77g0
Rootkit,Do It,Do It,spotify:track:1fjybDH9doQs30XowLYYo7
Troye Sivan,Blue Neighbourhood,BLUE,spotify:track:2pmO8V5TEDZqsrcaxSucpj
FM Attack,New World,Shadows,spotify:track:3hAcovbGYes1R1ZsLpmrKb
Joesef,Permanent Damage,It's Been a Little Heavy Lately,spotify:track:6z8ovqE9jd2IatNvOfFq7S
Reamonn,Tuesday,Supergirl,spotify:track:3FhNJaCNypOAnZccdYGAWN
City Girls,Girl Code,Broke Boy,spotify:track:0ZtqPL0UZSIvUymY0kDaev
Red Hot Chili Peppers,Blood Sugar Sex Magik,I Could Have Lied,spotify:track:0NSbiBKXoODbsPwjSivfBr
OFF,Electrica Salsa Revisited feat. Sven Väth,Electrica Salsa feat. Sven Väth - Original (Baba Baba),spotify:track:7uefj8fCBU6vUhALzwptnS
Vance Joy,Dream Your Life Away,Mess Is Mine,spotify:track:29jtZGdgpE2lWm2mkIt6HS
Eartheater,Trinity,Supersoaker - COUCOU CHLOE Remix,spotify:track:26aLMSgcLsV7KKEc1smdjf
Djo,DECIDE,End of Beginning,spotify:track:3qhlB30KknSejmIvZZLjOD
Alizée,Gourmandises,Moi... Lolita,spotify:track:6e0LjNPkRqxIAlmmdjWSV8
Gesaffelstein,Aleph,Hellifornia,spotify:track:0LSZMq4Z64OF1aXO41WrTB
The Weeknd,Dawn FM,Best Friends,spotify:track:4cm7Ap6IWH6m8JyB9IXT3x
Nina Kraviz,I'm Week,I'm Week - Original Mix,spotify:track:2pY0HzAC4cqrD76Y0iahVv
Logic,Bobby Tarantino II,Contra,spotify:track:7u90MSvVyEjL0c8icaE7jl
iann dior,nothings ever good enough,molly,spotify:track:0q0Vsy1SHdUSrR7TJGNAVn
Lana Del Rey,Chemtrails Over The Country Club,Breaking Up Slowly,spotify:track:1hn1kCOG5dm1XgZYKpfaLR
Wet,There's a Reason,There's a Reason,spotify:track:4ilNy4QN9MKeNifDxT6za9
Evenings,Yore,Babe,spotify:track:7nfGqsJl4A3lXApUI0YIFA
Doja Cat,Planet Her,You Right,spotify:track:0k4d5YPDr1r7FX77VdqWez
Eminem,The Eminem Show,Cleanin' Out My Closet,spotify:track:7BMO7O7ImjV8HNTH74Tshv
MARINA,Electra Heart,Hypocrates,spotify:track:6S1j8iU5lQRq8vDwjfSmct
Aivin,fragments of a soul life,past life,spotify:track:7bjrZqaoUcVrzpnN2MuwdD
Dreamgirl,Dreamgirl,Pynch,spotify:track:6EFmVwwNmaFdQvcRskTtkC
Several Definitions,Beginnings,The Beginning,spotify:track:1m4cTPAMEwxBEkTf2PuIxV
Vansire,Angel Youth,Wonderland,spotify:track:42D33s8WtzDtlWB86bgv4u
MARINA,Electra Heart,Bubblegum Bitch,spotify:track:0ZFBKLOZLIM16RAUb5eomN
dvsn,SEPT 5TH,With Me,spotify:track:6AIte2Iej1QKlaofpjCzW1
自決 9 6,Pink Soda,Not the Sad Yearning Because You Went Away,spotify:track:3Xmty3wd5gzYprpHVcJ5Yo
ZHU,GENERATIONWHY,Intro (Neon City),spotify:track:43vWPdh0S7dHVVamDQIt8u
Mungo's Hi Fi,Listening Bug EP,Jump Up Quickly,spotify:track:01Q2cFQT8zvty6XvYQOpoG
Erykah Badu,New Amerykah Part Two: Return Of The Ankh,Fall In Love (Your Funeral),spotify:track:58yWJFglBzvZ7Zao70lGtJ
Hozier,"Wasteland, Baby!",Movement,spotify:track:1djzKW3eYLyzjjHXazEWWh
A Boogie Wit da Hoodie,Hoodie SZN,Startender (feat. Offset and Tyga),spotify:track:0jAfdqv18goRTUxm3ilRjb
Rex Orange County,Dear White People (A Netflix Original Series Soundtrack),Uno,spotify:track:5cPlVbZ5GWa67mOHGitPxM
The Clash,London Calling (Remastered),London Calling - Remastered,spotify:track:5jzma6gCzYtKB1DbEwFZKH
Cameo,The Best Of Cameo,Candy,spotify:track:2XDUhs0PRE7O3NURR38BAL
TV Girl,Death of a Party Girl,Blue Hair,spotify:track:39sDitIeCMrVX2QyXHY46t
Funkadelic,Ain't That Funkin' Kinda Hard on You? (We Ain't Neva Gonna Stop Remix) [feat. Kendrick Lamar & Ice Cube] - Single,Ain't That Funkin' Kinda Hard on You? - We Ain't Neva Gonna Stop Remix,spotify:track:6SgQIoLn8kpu8J4wfwGWy8
The Weeknd,Dawn FM,Phantom Regret by Jim,spotify:track:1NlK2NtpuUazpziLhnJwEV
Savage,Don't Cry Tonight,Don't Cry Tonight - Original Version,spotify:track:3OHnOmttcpePgxl1TDfKjw
Metro Boomin,NOT ALL HEROES WEAR CAPES,Borrowed Love (feat. Swae Lee & WizKid),spotify:track:0NA5xAtDra50d0Lfs2uvoh
Ariana Grande,"thank u, next",make up,spotify:track:27356GVuMPFWiJSZCragoM
lucidbeatz,Gone (sped up),Gone (sped up),spotify:track:6dj6mwfnLiCp20cslQEcOE
Thievery Corporation,Saudade,Saudade,spotify:track:6N8LkW3Tp3dgEPq0X88JFC
Elvis Presley,Elvis 30 #1 Hits,Are You Lonesome Tonight?,spotify:track:4wM7V31TsZzzDBEH02Hltb
Jazmine Sullivan,Pick Up Your Feelings,Pick Up Your Feelings,spotify:track:2JLVZYEMmqPWbUoAJAMKfm
Melii,phAses,Slow For Me (feat. Tory Lanez),spotify:track:1aSd69BNiOKdT1AUJzsNhN
HOMESHAKE,Fresh Air,Every Single Thing,spotify:track:4lpHw4twMvrg0pjut49DZz
The Smiths,Hatful of Hollow,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",spotify:track:6BrMEbPSSj55nQhkgf6DnE
MASN,Psycho! (Remix) (feat. Trippie Redd),Psycho! (Remix) (feat. Trippie Redd),spotify:track:7j0He3HOaCTWLG7IRQr33p
GoldLink,"And After That, We Didn't Talk",New Black,spotify:track:4sH2Oc6BkJgDXvYLinK0sw
Flipp Dinero,LOVE FOR GUALA,Shawty Do You,spotify:track:44YBUTLrK4AxYKecybC2Vl
Depeche Mode,Ultra (Deluxe),It's No Good,spotify:track:7HDWE2Ib7cjkhzULV4K8y3
Busty and the Bass,Eddie,Out Of Love,spotify:track:3hNywmR93yvj68y2zl8mRt
Lescop,Lescop,La forêt,spotify:track:3mEb1rDaVl13swOcpkItwJ
Kanye West,808s & Heartbreak,Coldest Winter,spotify:track:2RRFTLIglxHgAYQzsSLI4Y
The Head And The Heart,Living Mirage,Honeybee,spotify:track:5CalS8Gn69OOrR9aiw0ZO9
DJ BORING,Like Water,Like Water,spotify:track:5spCGhval9pvD8Iq9Z3FFi
New Order,Brotherhood,Bizarre Love Triangle,spotify:track:6wVViUl2xSRoDK2T7dMZbR
Ramones,Road to Ruin,I Wanna Be Sedated,spotify:track:5NoQvINZLBV1wMYPdNmReL
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,Did you know that there's a tunnel under Ocean Blvd,spotify:track:5U1OEoEW4xnalSAToamwZL
Fox Academy,Um Hi,And Also I'm Really Scared,spotify:track:1xJpwbmRA4V2quPjStjpeU
Gunna,Sold Out Dates (feat. Lil Baby),Sold Out Dates (feat. Lil Baby),spotify:track:55WLWX71YkHt2tSucNIf1g
Funkdoobiest,Brothas Doobie,Superhoes,spotify:track:7fjdGYrSJ2AepOQ7YKy2rs
Taylor Swift,folklore,exile (feat. Bon Iver),spotify:track:4pvb0WLRcMtbPGmtejJJ6y
Lana Del Rey,Blue Banisters,Nectar Of The Gods,spotify:track:3qydJy5jc1UslvHkm3Hrve
Yo Gotti,I Still Am,Rake It Up (feat. Nicki Minaj),spotify:track:4knL4iPxPOZjQzTUlELGSY
Outkast,Speakerboxxx/The Love Below,Prototype,spotify:track:1QJb6LWvPXZpTMiqqODqkH
Mother Mother,O My Heart,Burning Pile,spotify:track:0zMAvsQmaQ4DGsmXtKixpn
Yellow Days,Is Everything Okay In Your World?,Hurt in Love,spotify:track:60UPukugfdn2K3LeXg48cA
Nirvana,Nevermind,Come As You Are,spotify:track:2RsAajgo0g7bMCHxwH3Sk0
Unknown Mortal Orchestra,Sex & Food,Hunnybee,spotify:track:6AAYNz8jXvVlgG9IpYi42Z
ScHoolboy Q,Habits & Contradictions,Hands on the Wheel (feat. Asap Rocky),spotify:track:78JKJfKsqgeBDBF58gv1SF
RY X,Dawn,Lean,spotify:track:2x18lczH9jrPlF6fTE9gm1
Manu Chao,Clandestino,Je ne t'aime plus,spotify:track:7Deb4scGmEv4fY2CZcVnSb
Candy Man SA,Paranormal,Solider,spotify:track:3JEjcIqcDCT7BXegRSw5A6
Brandi Carlile,"By the Way, I Forgive You",Every Time I Hear That Song,spotify:track:0hoRmVUp5cZ1empu0nSHU8
King Princess,Pussy Is God,Pussy Is God,spotify:track:6VCeywT4JeawuZOUkQ1okx
Rhye,Blood Remixed,Waste - RY X Remix,spotify:track:08HR9PoLSeovgXWvJEZrvi
Miley Cyrus,Endless Summer Vacation,Violet Chemistry,spotify:track:00Ga884hbpVvCNyeQdle1U
Carl Douglas,The Soul of the Kung Fu Fighter,Kung Fu Fighting,spotify:track:40NRm1ZLvZpUSCUXAGGZ8J
H.E.R.,I Used To Know Her,Take You There,spotify:track:0jq34bzlBreNWsnp8rvlvK
Naughty Boy,Runnin' (Lose It All),Runnin' (Lose It All),spotify:track:5yZvaUVyuXfSVUaMumFi6l
Alina Baraz,Electric (Marian Hill Remix),Electric (Marian Hill Remix),spotify:track:0MzlTRg1eC1PIZlbxMP9aG
Childish Gambino,Summer Pack,Feels Like Summer,spotify:track:7p4vHnYXkxlzvfePJVpcTr
Nouvelle Vague,Nouvelle Vague,This Is Not A Love Song,spotify:track:5Pny9ao6ROwxCkJHlW2ueq
The Neighbourhood,Chip Chrome & The Mono-Tones,Cherry Flavoured,spotify:track:40iocOzytrqaRn5RbGPDNp
The Weeknd,Dawn FM,Sacrifice,spotify:track:1nH2PkJL1XoUq8oE6tBZoU
Scorpions,Comeblack,Still Loving You,spotify:track:0RdUX4WE0fO30VnlUbDVL6
The Neighbourhood,Chip Chrome & The Mono-Tones,Middle of Somewhere,spotify:track:4e8zIDjctZ1DtUPZTraGzS
Ja Rule,Pain Is Love,X,spotify:track:31Uua0GQ0bYbmB285Jm6KN
Juice WRLD,Rich And Blind,Rich And Blind,spotify:track:6QNFQJKlZUKr0xlGZ74CZJ
Sinéad O'Connor,So Far: The Best of Sinéad O'Connor,You Made Me the Thief of Your Heart,spotify:track:6iGBOnPuTpSvufBhWp5gwz
21 Savage,american dream,redrum,spotify:track:52eIcoLUM25zbQupAZYoFh
Kodak Black,Project Baby 2: All Grown Up,Roll in Peace (feat. XXXTENTACION),spotify:track:40oKW22ZNNkEdZLJTScaQI
Red Hot Chili Peppers,Dark Necessities,Dark Necessities,spotify:track:1cjiLJacTKtJbdCtMk1XeV
Oliver Riot,Hallucinate,Ivory Black,spotify:track:6vSIJHh8CRxpjWRvnzspZg
Sky Ferreira,Ghost,Ghost,spotify:track:20GwGrQHQ8slozouQCslD1
Frank Ocean,Blonde,Futura Free,spotify:track:5k8LB57xOq8UUNVaKWSqrf
Ace of Base,The Sign,The Sign,spotify:track:0hrBpAOgrt8RXigk83LLNE
H.E.R.,I Can't Breathe,I Can't Breathe,spotify:track:4CPszpSnlbgnQLIQYyzIR2
Thundercat,Drunk,Them Changes,spotify:track:7CH99b2i1TXS5P8UUyWtnM
Mary Margaret O'Hara,Miss America,Dear Darling,spotify:track:1vUivO07XJUxzgfDGyeoOI
The Weeknd,The Idol Episode 3,Take Me Back,spotify:track:6QZePG40wT3i7bIRlmauTm
Township Rebellion,Memorial,Magna Terram,spotify:track:3lrqo0H2qAyGuaGMlckgBY
M83,"Hurry up, We're Dreaming",My Tears Are Becoming a Sea,spotify:track:08wnOyN1wyMaNrup3m353f
Kid Cudi,Man On The Moon: The End Of Day,Make Her Say,spotify:track:7dZAPeA3Of5j5Vaef0DQ6M
Heidi Montag,Superficial,I'll Do It,spotify:track:3RpCFxfsccNPDTWd3ALMaB
MIKA,Forgotten 00's Hits,Rain,spotify:track:2ktNiu4zNPoc7mXdcAe5sF
Jorja Smith,Lost & Found,February 3rd,spotify:track:3c5gLGgwRrE7sQYSNHCXEj
Nas,I Am...,Nas Is Like,spotify:track:3gY6tiCNsuVi6s8kPV6aQg
Womack & Womack,Best of 80s,Teardrops,spotify:track:2ssl3oeVptDKx5PY59Sbm2
Youth Lagoon,The Year of Hibernation,17,spotify:track:5UVBumEwdUnzvqxrXOYLFA
M.O.P.,Warriorz,Cold as Ice,spotify:track:493CPxYEHHzXeSdnp8Ul73
Blu,Her Favorite Colo(u)r,Amnesia,spotify:track:1wNtOxs2WXWgGwoHBb7LNG
"Tyler, The Creator",Cherry Bomb,SMUCKERS (feat. Lil Wayne & Kanye West),spotify:track:078C2jXg7XsMgW78Gfx1JA
The Weeknd,Dawn FM,Is There Someone Else?,spotify:track:0mL82sxCRjrs3br407IdJh
Cavetown,Sweet Tooth,Sweet Tooth,spotify:track:6dhn5ZreoskYocA256lMPV
Mensch,Tarifa,The Greatest Escape,spotify:track:7GgztyhE4MzkQvgYA31Xq6
The Brothers Johnson,Right On Time,Strawberry Letter 23,spotify:track:00kvKlIvfzQLSi6T2zwXuS
Depeche Mode,Music for the Masses,Never Let Me Down Again - 2006 Remaster,spotify:track:2H1BmB1b6Px9KJXIUpD03u
Jennifer Paige,Jennifer Paige,Crush,spotify:track:7aOGFnnVDivtRO1PrYhx64
Blunt & Real,Egjeli,Afrim Roboti,spotify:track:3HPO3LB5uYwJQRngOyEqt0
Lil Uzi Vert,The Perfect LUV Tape,Erase Your Social,spotify:track:4uhvMW7ly7tJil31YYscAN
Ricky Reed,Better,Us (How Sweet It Was),spotify:track:77MFtaayQhB51mqzek4n7a
The Prodigy,Music for the Jilted Generation,Their Law,spotify:track:68k8LJZSquZeUFIkicIPTI
J. Cole,KOD,Window Pain - Outro,spotify:track:5Lgqu1th1KqlG97OF2gWGe
Her's,Songs of Her's,What Once Was,spotify:track:1XrSjpNe49IiygZfzb74pk
A Boogie Wit da Hoodie,Hoodie SZN,The Reaper,spotify:track:3TwzcgoO6mbgX3E7Bn1RAy
Cat Trumpet,Relaxing Piano: Studio Ghibli Complete Collection,"Inochi no Namae (From ""Spirited Away"")",spotify:track:2nbNzjJKfxfXx5oCpnd80b
Ne-Yo,Year Of The Gentleman,Mad,spotify:track:6Hn9Uc1mMNfqChXU3txNke
Talking Heads,Remain in Light,The Great Curve - 2005 Remaster,spotify:track:35ljOibZSLEjOEPGrbaJsH
Tears For Fears,Songs From The Big Chair,Everybody Wants To Rule The World,spotify:track:4RvWPyQ5RL0ao9LPZeSouE
Jack Harlow,Loose,CODY BANKS,spotify:track:0XcmRDeHawnaIYRIKW1vMo
Chromatics,Cherry (Deluxe),Cherry (Instrumental),spotify:track:2Bg3YE0OFOSmiDVugfQTJU
RY X,Dawn,Hold Me Love,spotify:track:2nd62opY6rPa3hT27iKMHL
Channel Tres,Brilliant Nigga,Brilliant Nigga,spotify:track:0R43dXnNgF209Ygdgct0fP
Beach Bunny,Prom Queen,Prom Queen,spotify:track:6MpCaSIOfqBqbMED4kXgNY
Mind’s Eye,Favorite Love Machine,Handful of Nothing,spotify:track:3I3gHDAA473dhVJPhRcKaO
Kanye West,JESUS IS KING,Follow God,spotify:track:2QpGZOhTCHHiKmpSO9FW4h
Allen Stone,Brown Eyed Lover,Brown Eyed Lover,spotify:track:2fewvKX1SzRMfNdQDnyoQj
Mick Jenkins,The Circus,Carefree,spotify:track:0Eq2AzJQNwxf5FsLYBjitC
Ann Peebles,I Can't Stand the Rain,I Can't Stand the Rain,spotify:track:0CcL4kSHKIEwF3IW0BGgb6
Molchat Doma,Этажи,Судно (Борис Рижий),spotify:track:6DONTnamNDOJdO6DzCu71p
Madison Beer,As She Pleases,Home with You,spotify:track:0iwsQWgtjSq2kUXuZwTDAL
Kali Uchis,Moonlight,Moonlight,spotify:track:2i2gDpKKWjvnRTOZRhaPh2
SL,Gentleman,Gentleman,spotify:track:19xj9MPZsjMZBnj6c1rlIv
Metro Boomin,NOT ALL HEROES WEAR CAPES,10AM/Save The World (feat. Gucci Mane),spotify:track:00KjOnN3U40e3lXFUOue7h
Paramore,Brand New Eyes,Decode - Twilight Soundtrack Version,spotify:track:4IDfVjI1TlB1UwlC01T4Bm
Rejjie Snow,Dear Annie,Pink Lemonade,spotify:track:3SPrcSJsFgvtS0ABLd6Ea5
Kanye West,Graduation,Good Morning,spotify:track:5CaXxLM568tBh1PwhXdciZ
Summer Salt,Happy Camper,Oh Dear,spotify:track:197W2OQ1Khv8gnO0ZSBNq7
KIDS SEE GHOSTS,KIDS SEE GHOSTS,4th Dimension,spotify:track:6JyEh4kl9DLwmSAoNDRn5b
KAYTRANADA,Lover/Friend,Lover/Friend - Instrumental,spotify:track:7KD00FagbGTV5JLvPw6KsR
Juice WRLD,Wasted (feat. Lil Uzi Vert),Wasted (feat. Lil Uzi Vert),spotify:track:3VFZTYhwAsxTDTiHlm3n1k
6LACK,FREE 6LACK,Worst Luck,spotify:track:2wc4wFgsQUDD79jItn4cHs
The Weeknd,The Highlights,Pray For Me,spotify:track:6huNf4dutXRjJyGn7f5BPS
La Roux,Automatic Driver,"Automatic Driver - Tyler, The Creator Remix",spotify:track:59S3SiDxj914oyXd25zt3j
Marcy Playground,Sex and Candy,Sex and Candy,spotify:track:7KJvpM9fwlHMT1p3dCumdC
Jess Bays,Temptation (feat. Poppy Baskcomb),Temptation (feat. Poppy Baskcomb),spotify:track:3fvsxmytTns1ApIWBqfANZ
The Bucketheads,The Bomb (These Sounds Fall Into My Mind),The Bomb! (These Sounds Fall Into My Mind) - Radio Edit,spotify:track:0qQiqwzddwQmtoGcF3Uzm5
Kanye West,VULTURES 1,VULTURES,spotify:track:4202KkXGtULRsbRocWSw09
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,Fishtail,spotify:track:4Cg9XRHLP3s5ZiQaIdL4zW
The 1-800,Lovewave,Lovewave,spotify:track:7lEUw1sUMx88zByWiaeTau
DMX,It's Dark And Hell Is Hot,How's It Goin' Down,spotify:track:5AP5KTPHWgOf56LFdjSwD2
Duke Dumont,Runway,"Runway - For Club Play Only, Pt. 5",spotify:track:3UCOxTSO17cTWgIwMxElUA
Don Toliver,Donny Womack,Around,spotify:track:5cDaVpePkkYc98ZL1rwxDa
Ciara,Jackie,Dance Like We're Making Love,spotify:track:3biFdxByHgUhTbp2dG89zK
Lana Del Rey,Ultraviolence,Cruel World,spotify:track:6ayKgleoMF26lvU1Z7wVm7
King Krule,The OOZ,The Ooz,spotify:track:2ELAmhHemyQG2U9TwLuusd
Kool & The Gang,Emergency,Cherish,spotify:track:2OY17ER3xSmNXjGsqWzgn7
Troye Sivan,Take Yourself Home,Take Yourself Home,spotify:track:6YndZBGmLySgsVScckWkmO
Muse,Black Holes and Revelations,Glorious,spotify:track:6IfitwQQ1Gu9g9QnLWDHRY
A Tribe Called Quest,The Low End Theory,"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",spotify:track:0301nLjG0ti26rx5ZmfqtP
