Artist,Album,Track Name,Track URI
Kanye West,The College Dropout,Never Let Me Down,spotify:track:34j4OxJxKznBs88cjSL2j9
Rick James,Street Songs,Give It To Me Baby,spotify:track:13v3siPyvy5TTEZYmGPPse
6LACK,East Atlanta Love Letter,Sorry,spotify:track:2xRyZfWe9bnRfH1ZfhYO98
M.I.A.,Kala,Come Around,spotify:track:7iO8C8WokR1folp9mPdN2t
The Four Freshmen,Capitol Collectors Series,It's A Blue World - Remastered,spotify:track:1nq6LprTQLYKaWhPn243YS
Dead by April,Dead by April,Promise Me,spotify:track:2s4AbiaTKGrKldnICBxaWW
Kraftwerk,3-D Der Katalog,Das Model,spotify:track:3VwLD5o1r0YBLkjUfgSEYg
The Neighbourhood,To Imagine - EP,Stuck with Me,spotify:track:1Hcq5r6BZ78WISy8Zgsbyw
Kanye West,JESUS IS KING,Use This Gospel,spotify:track:0oPOuDmmkVp3h6puekhs6P
Lana Del Rey,Born To Die,Lucky Ones,spotify:track:12wkCDbvabkmnJNOLdNQc4
Mozzy,"In My Face (with 2 Chainz, Saweetie feat. YG)","In My Face (with 2 Chainz, Saweetie feat. YG)",spotify:track:7IfxYyZaO3S3PJf5agEEWS
Kanye West,Donda,Praise God,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T
Kanye West,Yeezus,On Sight,spotify:track:1gqkRc9WtOpnGIqxf2Hvzr
Swedish House Mafia,Dawn FM,Moth To A Flame (with The Weeknd),spotify:track:3PHx91cSFc4vNVP7TpICVt
Avril Lavigne,Under My Skin,My Happy Ending,spotify:track:6sqNctd7MlJoKDOxPVCAvU
Kelis,Kelis Was Here,Bossy Featuring Too $hort (feat. Too $hort),spotify:track:0Eu5SrReZzaJX0NLKI8tQS
Ella Eyre,Feline,We Don't Have To Take Our Clothes Off - Remastered 2015,spotify:track:49GpGYGli1xcxovgYf0k4c
Polo G,Die A Legend,Pop Out Again (feat. Lil Baby & Gunna),spotify:track:2VIMXmWUIqhMqg6h5FOFPG
Jungle,Jungle,Drops,spotify:track:24887eCca9nMwyGfdPsOI6
Gooch,Caught Up In You,Caught Up In You,spotify:track:48WBz8G11W8pd9tZdyL7Tp
