platform,searchTime,searchQuery,searchInteractionURIs
IPHONE,2023-12-29T07:46:44.669Z[UTC],hers,['spotify:track:1XrSjpNe49IiygZfzb74pk']
OSX_X86_64,2023-12-29T09:13:15.493Z[UTC],ka,[]
OSX_X86_64,2023-12-29T09:13:16.869Z[UTC],kaytr,[]
OSX_X86_64,2023-12-29T09:13:17.296Z[UTC],kaytran,[]
OSX_X86_64,2023-12-29T09:25:35.673Z[UTC],house,[]
OSX_X86_64,2023-12-29T09:26:15.848Z[UTC],ho,[]
OSX_X86_64,2023-12-29T09:26:25.894Z[UTC],house,[]
OSX_X86_64,2023-12-29T09:26:25.974Z[UTC],house ,[]
IPHONE_ARM64,2023-12-31T11:49:43.682Z[UTC],la,[]
IPHONE,2023-12-31T11:49:44.965Z[UTC],layla,['spotify:track:2kkvB3RNRzwjFdGhaUA0tz']
IPHONE_ARM64,2023-12-31T12:05:18.891Z[UTC],"i been getting so close, i ",[]
IPHONE,2023-12-31T12:05:22.386Z[UTC],"i been getting so close, i can taste it","['spotify:track:1ghqDkglrXPcxgRobBmLVW', 'spotify:album:75636FX5iYEcgCrLqcBtXr']"
IPHONE_ARM64,2023-12-31T12:05:43.653Z[UTC],"i been getting so close, i can taste it tas",[]
IPHONE_ARM64,2023-12-31T12:05:48.145Z[UTC],"i been getting so close, i can taste it taste the de",[]
IPHONE,2023-12-31T12:05:49.434Z[UTC],"i been getting so close, i can taste it taste the desire",['spotify:track:22Fv7qSb4oYi8HrgSULfcc']
IPHONE_ARM64,2023-12-31T12:06:23.482Z[UTC],"i been getting so close, i can taste y",[]
IPHONE_ARM64,2023-12-31T12:06:25.159Z[UTC],"i been getting so close, i can taste you lef",[]
IPHONE_ARM64,2023-12-31T12:06:27.953Z[UTC],"i been getting so close, i can taste you left a ma",[]
IPHONE_ARM64,2023-12-31T12:06:28.633Z[UTC],"i been getting so close, i can taste you left a mark",[]
IPHONE_ARM64,2023-12-31T12:06:30.794Z[UTC],"i been getting so close, i can taste you left a mark on",[]
IPHONE,2023-12-31T12:06:33.201Z[UTC],"i been getting so close, i can taste you left a mark on my ",['spotify:track:5bF00VrMY3FwnQDgoP4Gnk']
IPHONE_ARM64,2023-12-31T13:12:40.171Z[UTC],fl,[]
IPHONE,2023-12-31T13:12:40.549Z[UTC],flip,['spotify:track:252ZECHopILLs10pMfE76N']
IPHONE,2024-01-01T01:46:07.955Z[UTC],pocketf,['spotify:track:4hjuUelurEBKlqpJPJ77Iw']
IPHONE_ARM64,2024-01-01T01:47:25.716Z[UTC],channe,[]
IPHONE_ARM64,2024-01-01T01:47:26.047Z[UTC],channel,[]
IPHONE_ARM64,2024-01-01T01:47:26.955Z[UTC],channel tr,[]
IPHONE,2024-01-01T01:47:33.927Z[UTC],channel tres tunnel,"['spotify:track:4at0npP4QkdIUulFZIsYft', 'spotify:track:3ys5J8MAFYex3zO7n9VduT']"
IPHONE_ARM64,2024-01-01T11:21:23.728Z[UTC],i th,[]
IPHONE,2024-01-01T11:21:25.038Z[UTC],i think ,['spotify:track:4f8Mh5wuWHOsfXtzjrJB3t']
IPHONE_ARM64,2024-01-02T05:14:38.863Z[UTC],cure,[]
IPHONE_ARM64,2024-01-02T05:14:38.902Z[UTC],cure m,[]
IPHONE_ARM64,2024-01-02T05:14:39.588Z[UTC],cure m,[]
IPHONE,2024-01-02T05:14:42.588Z[UTC],cure my ded,['spotify:track:6m3DkpGqoeQJxfekL3ZLHJ']
IPHONE,2024-01-02T21:02:02.050Z[UTC],lady,['spotify:track:6btIpLff2jE56h2N40smAj']
,2024-01-03T00:55:00.169Z[UTC],c,[]
,2024-01-03T00:55:00.253Z[UTC],ch,[]
IPHONE_ARM64,2024-01-03T00:55:00.443Z[UTC],c,[]
IPHONE_ARM64,2024-01-03T00:55:00.459Z[UTC],ch,[]
,2024-01-03T00:55:00.511Z[UTC],chi,[]
,2024-01-03T00:55:00.544Z[UTC],chie,[]
,2024-01-03T00:55:01.025Z[UTC],chief,[]
,2024-01-03T00:55:01.502Z[UTC],chief ,[]
